phone_name,brand,os,inches,resolution,battery,battery_type,ram,announcement_date,weight,video,internal,price
Huawei Mate 30 5G,Huawei,Android 10,"6.62""",1080x2340 pixels,4200,Li-Po,6/8GB RAM,"2019, September",196 g (6.91 oz),"4K@30/60fps, 1080p@30/60/120fps, 720p@960fps, gyro-EIS","128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",About 190 EUR
Huawei Mate 30,Huawei,Android 10,"6.62""",1080x2340 pixels,4200,Li-Po,6/8GB RAM,"2019, September",196 g (6.91 oz),"4K@30/60fps, 1080p@30/60/120fps, 720p@960fps, gyro-EIS","128GB 6GB RAM, 128GB 8GB RAM",About 340 EUR
Huawei nova 5i Pro,Huawei,Android 9.0,"6.26""",1080x2340 pixels,4000,Li-Po,6/8GB RAM,"2019, July",178 g (6.28 oz),"4K@30fps, 1080p@30fps","128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",About 390 EUR
Huawei Enjoy 10 Plus,Huawei,Android 9.0,"6.59""",1080x2340 pixels,4000,Li-Po,4-8GB RAM,"2019, September",163.5 g (5.78 oz),1080p@30fps,"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",About 360 EUR
Huawei nova 5T,Huawei,Android 9.0,"6.26""",1080x2340 pixels,3750,Li-Po,6/8GB RAM,"2019, August 27",174 g (6.14 oz),"4K@30fps, 1080p@30/60fps; gyro-EIS","128GB 6GB RAM, 128GB 8GB RAM",About 260 EUR
Huawei nova 5 Pro,Huawei,Android 9.0,"6.39""",1080x2340 pixels,3500,Li-Po,8GB RAM,"2019, June",171 g (6.03 oz),"4K@30fps, 1080p@30fps","128GB 8GB RAM, 256GB 8GB RAM",About 220 EUR
Huawei nova 5,Huawei,Android 9.0,"6.39""",1080x2340 pixels,3500,Li-Po,8GB RAM,"2019, June",171 g (6.03 oz),1080p@30fps,128GB 8GB RAM,About 280 EUR
Huawei nova 5i,Huawei,Android 9.0,"6.4""",1080x2310 pixels,4000,Li-Po,6/8GB RAM,"2019, June",178 g (6.28 oz),1080p@30fps,"128GB 6GB RAM, 128GB 8GB RAM",About 280 EUR
Huawei Y9 Prime (2019),Huawei,Android 9.0,"6.59""",1080x2340 pixels,4000,Li-Po,4GB RAM,"2019, August 01",196.8 g (6.95 oz),1080p@30fps,"64GB 4GB RAM, 128GB 4GB RAM",About 760 EUR
Huawei P20 lite (2019),Huawei,Android 9.0,"6.4""",1080x2310 pixels,4000,Li-Po,4GB RAM,"2019, June",178 g (6.28 oz),1080p@30fps,"64GB 4GB RAM, 128GB 4GB RAM",About 670 EUR
Huawei P Smart Z,Huawei,Android 9.0,"6.59""",1080x2340 pixels,4000,Li-Po,4GB RAM,"2019, May",196.8 g (6.95 oz),1080p@30fps,64GB 4GB RAM,€ 319.00 / $ 235.48 / £ 245.00
Huawei Mate 20 X (5G),Huawei,Android 9.0,"7.2""",1080x2244 pixels,4200,Li-Po,6/8GB RAM,"2019, May",233 g (8.22 oz),"4K@30fps, 1080p@60fps, 1080p@30fps (gyro-EIS), 720p@960fps","128GB 6GB RAM, 256GB 8GB RAM",About 420 EUR
Huawei P30 Pro,Huawei,Android 9.0,"6.47""",1080x2340 pixels,4200,Li-Po,6/8GB RAM,"2019, March 26",192 g (6.77 oz),"4K@30fps, 1080p@60fps, 1080p@30fps (gyro-EIS), 720p@960fps","128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM",About 270 EUR
Huawei P30,Huawei,Android 9.0,"6.1""",1080x2340 pixels,3650,Li-Po,6/8GB RAM,"2019, March 26",165 g (5.82 oz),"4K@30fps, 1080p@60fps, 1080p@30fps (gyro-EIS), 720p@960fps","64GB 8GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",About 130 EUR
Huawei P30 lite,Huawei,Android 9.0,"6.15""",1080x2312 pixels,3340,Li-Po,4-8GB RAM,"2019, March 27",159 g (5.61 oz),1080p@30fps (gyro-EIS),"64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 4GB RAM, 256GB 6GB RAM",About 120 EUR
