phone_name,brand,os,inches,resolution,battery,battery_type,ram,announcement_date,weight,video,internal,price
vivo X Fold+,Vivo,Android 12,"8.03""",1916x2160 pixels,4730,Li-Po,12GB RAM,"2022, September 26",311 g (10.97 oz),"8K@30fps, 4K@30/60fps, 1080p@30/60fps, gyro-EIS","256GB 12GB RAM, 512GB 12GB RAM",About 180 EUR
vivo X80 Lite,Vivo,Android 12,"6.44""",1080x2404 pixels,4500,Li-Po,8GB RAM,"2022, September 22",186 g (6.56 oz),"4K@30fps, 1080p@30fps",256GB 8GB RAM,"₹ 10,999"
vivo Y52t,Vivo,Android 12,"6.51""",720x1600 pixels,5000,Li-Po,8GB RAM,"2022, September 18",198 g (6.98 oz),1080p@30fps,"128GB 8GB RAM, 256GB 8GB RAM",About 270 EUR
vivo iQOO Z6 Lite,Vivo,Android 12,"6.58""",1080x2408 pixels,5000,Li-Po,4/6GB RAM,"2022, September 14",194 g (6.84 oz),1080p@30fps,"64GB 4GB RAM, 128GB 6GB RAM",About 160 EUR
vivo Y16,Vivo,Android 12,"6.51""",720x1600 pixels,5000,Li-Po,3/4GB RAM,"2022, September 01",184 g (6.49 oz),1080p@30fps,"32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",About 300 EUR
vivo Y75s,Vivo,Android 11,"6.58""",1080x2408 pixels,5000,Li-Po,8/12GB RAM,"2022, September 07",193 g (6.81 oz),"4K@30fps, 1080p@30fps, gyro-EIS","256GB 8GB RAM, 256GB 12GB RAM",About 250 EUR
vivo Y22,Vivo,Android 12,"6.55""",720x1612 pixels,5000,Li-Po,4/6GB RAM,"2022, September 05",190 g (6.70 oz),1080p@30fps,"64GB 4GB RAM, 128GB 6GB RAM",About 180 EUR
vivo V25e,Vivo,Android 12,"6.44""",1080x2404 pixels,4500,Li-Po,8/12GB RAM,"2022, August 30",183 g (6.46 oz),1080p@30fps,"128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",About 250 EUR
vivo iQOO Z6 (China),Vivo,Android 12,"6.64""",1080x2388 pixels,4500,Li-Po,8/12GB RAM,"2022, August 25",194.6 g (6.88 oz),"4K@30fps, 1080p@30/60fps, gyro-EIS","128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","₹ 21,750"
vivo iQOO Z6x,Vivo,Android 11,"6.58""",1080x2408 pixels,6000,Li-Po,6/8GB RAM,"2022, August 25",204 g (7.20 oz),1080p@30fps,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","₹ 20,940"
vivo Y22s,Vivo,Android 12,"6.55""",720x1612 pixels,5000,Li-Po,4-8GB RAM,"2022, August 23",192 g (6.77 oz),1080p@30fps,"128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","€ 279.00 / ₹ 18,000"
vivo V25 Pro,Vivo,Android 12,"6.56""",1080x2376 pixels,4830,Li-Po,8/12GB RAM,"2022, August 17",190 g (6.70 oz),"4K@30fps, 1080p@30fps","128GB 8GB RAM, 256GB 12GB RAM",About 250 EUR
vivo V25,Vivo,Android 12,"6.44""",1080x2404 pixels,4500,Li-Po,8/12GB RAM,"2022, August 17",186 g (6.56 oz),"4K@30fps, 1080p@30fps","128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM",About 100 EUR
vivo Y35,Vivo,Android 11,"6.58""",1080x2408 pixels,5000,Li-Po,4/8GB RAM,"2022, August 15",188 g (6.63 oz),1080p@30fps,"64GB 4GB RAM, 128GB 4GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",About 600 EUR
vivo Y77e,Vivo,Android 12,"6.58""",1080x2408 pixels,5000,Li-Po,6/8GB RAM,"2022, August 12",194 g (6.84 oz),1080p@30fps,"128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",About 230 EUR
vivo Y02s,Vivo,Android 12,"6.51""",720x1600 pixels,5000,Li-Po,2/3GB RAM,"2022, August 01",182 g (6.42 oz),1080p@30fps,"32GB 2GB RAM, 32GB 3GB RAM, 64GB 3GB RAM",About 150 EUR
