phone_name,brand,os,inches,resolution,battery,battery_type,ram,announcement_date,weight,video,internal,price
Honor X10 Max 5G,Honor,Android 10,"7.09""",1080x2280 pixels,5000,Li-Po,6/8GB RAM,"2020, July 02",232 g (8.18 oz),"4K@30fps, 1080p@30fps, gyro-EIS","64GB 6GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",About 240 EUR
Honor 30 Youth,Honor,Android 10,"6.5""",1080x2400 pixels,4000,Li-Po,6/8GB RAM,"2020, July 02",192 g (6.77 oz),"4K@30fps, 1080p@30fps","64GB 6GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",About 220 EUR
Honor 8S 2020,Honor,Android 9.0,"5.71""",720x1520 pixels,3020,Li-Po,3GB RAM,"2020, May 27",146 g (5.15 oz),1080p@30fps,64GB 3GB RAM,About 110 EUR
Honor Play4,Honor,Android 10,"6.81""",1080x2400 pixels,4300,Li-Po,8GB RAM,"2020, June 03",213 g (7.51 oz),"4K@30fps, 1080p@30fps, gyro-EIS",128GB 8GB RAM,About 250 EUR
Honor Play4 Pro,Honor,Android 10,"6.57""",1080x2400 pixels,4200,Li-Po,8GB RAM,"2020, June 03",213 g (7.51 oz),"4K@30/60fps, 1080p@30fps, 1080p@960fps, OIS, gyro-EIS",128GB 8GB RAM,About 360 EUR
Honor X10 5G,Honor,Android 10,"6.63""",1080x2400 pixels,4300,Li-Po,6/8GB RAM,"2020, May 20",203 g (7.16 oz),"4K@30fps, 1080p@30fps, 720p@960fps, gyro-EIS","64GB 6GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",About 250 EUR
Honor V6,Honor,Android 10,"10.4""",1200x2000 pixels,7250,Li-Po,6/8GB RAM,"2020, May 19",480 g (1.06 lb),1080p@30fps,"64GB 6GB RAM, 128GB 6GB RAM, 256GB 8GB RAM",About 280 EUR
Honor 9A,Honor,Android 10,"6.3""",720x1600 pixels,5000,Li-Po,3GB RAM,"2020, April 29",185 g (6.53 oz),1080p@30fps,64GB 3GB RAM,About 150 EUR
Honor 9C,Honor,Android 10,"6.39""",720x1560 pixels,4000,Li-Po,4GB RAM,"2020, April 29",176 g (6.21 oz),1080p@30fps,64GB 4GB RAM,About 160 EUR
Honor 9S,Honor,Android 10,"5.45""",720x1440 pixels,3020,Li-Po,2GB RAM,"2020, April 29",144 g (5.08 oz),1080p@30fps,32GB 2GB RAM,About 90 EUR
Honor 9X Lite,Honor,Android 9.0,"6.5""",1080x2340 pixels,3750,Li-Po,4GB RAM,"2020, April 17",188 g (6.63 oz),1080p@30fps,128GB 4GB RAM,About 220 EUR
