phone_name,brand,os,inches,resolution,battery,battery_type,ram,announcement_date,weight,video,internal,price
Realme V13 5G,Realme,Android 11,"6.5""",1080x2400 pixels,5000,Li-Po,8GB RAM,"2021, March 31",185 g (6.53 oz),1080p@30fps,"128GB 8GB RAM, 256GB 8GB RAM",About 210 EUR
Realme 8 Pro,Realme,Android 11,"6.4""",1080x2400 pixels,4500,Li-Po,6/8GB RAM,"2021, March 24",176 g (6.21 oz),"4K@30fps, 1080p@30/60/120/480fps, 720p@960fps, gyro-EIS","128GB 6GB RAM, 128GB 8GB RAM",About 550 EUR
Realme 8,Realme,Android 11,"6.4""",1080x2400 pixels,5000,Li-Po,4-8GB RAM,"2021, March 24",177 g (6.24 oz),"4K@30fps, 1080p@30/60/120fps, gyro-EIS","64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",€ 178.90
Realme C25,Realme,Android 11,"6.5""",720x1600 pixels,6000,Li-Po,4GB RAM,"2021, March 23",209 g (7.37 oz),1080p@30fps,"64GB 4GB RAM, 128GB 4GB RAM",About 140 EUR
Realme C21,Realme,Android 10,"6.5""",720x1600 pixels,5000,Li-Po,3/4GB RAM,"2021, March 05",190 g (6.70 oz),1080p@30fps,"32GB 3GB RAM, 64GB 4GB RAM","€ 141.04 / $ 275.00 / £ 129.99 / ₹ 10,485"
Realme GT 5G,Realme,Android 11,"6.43""",1080x2400 pixels,4500,Li-Po,8/12GB RAM,"2021, March 04",186 g (6.56 oz),"4K@30/60fps, 1080p@30/60/240fps, gyro-EIS","128GB 8GB RAM, 256GB 12GB RAM","€ 349.99 / $ 297.59 / ₹ 23,990"
Realme Narzo 30 Pro 5G,Realme,Android 10,"6.5""",1080x2400 pixels,5000,Li-Po,6/8GB RAM,"2021, February 24",196 g (6.91 oz),"4K@30fps, 1080p@30/60/120fps, gyro-EIS","64GB 6GB RAM, 128GB 8GB RAM",About 200 EUR
Realme Narzo 30A,Realme,Android 10,"6.5""",720x1600 pixels,6000,Li-Po,3/4GB RAM,"2021, February 24",205 g (7.23 oz),1080p@30fps,"32GB 3GB RAM, 64GB 4GB RAM",$ 435.00
Realme V11 5G,Realme,Android 11,"6.5""",720x1600 pixels,5000,Li-Po,4/6GB RAM,"2021, February 05",186 g (6.56 oz),"4K@30/60fps, 1080p@30/60fps","128GB 4GB RAM, 128GB 6GB RAM",About 160 EUR
Realme C20,Realme,Android 10,"6.5""",720x1600 pixels,5000,Li-Po,2GB RAM,"2021, January 19",190 g (6.70 oz),1080p@30fps,32GB 2GB RAM,About 90 EUR
Realme X7 (India),Realme,Android 10,"6.4""",1080x2400 pixels,4310,Li-Po,6/8GB RAM,"2021, February 04",176 g / 179 g (6.21 oz),"4K@30fps, 1080p@30/60/120fps, gyro-EIS","128GB 6GB RAM, 128GB 8GB RAM",About 230 EUR
Realme V15 5G,Realme,Android 10,"6.4""",1080x2400 pixels,4310,Li-Po,6/8GB RAM,"2021, January 07",176 g / 179 g (6.21 oz),"4K@30fps, 1080p@30/60/120fps, gyro-EIS","128GB 6GB RAM, 128GB 8GB RAM",About 190 EUR
Realme 7i (Global),Realme,Android 10,"6.5""",720x1600 pixels,6000,Li-Po,4GB RAM,"2020, December 22",208 g (7.34 oz),1080p@30/60fps,64GB 4GB RAM,About 190 EUR
Realme 7 5G,Realme,Android 10,"6.5""",1080x2400 pixels,5000,Li-Po,6/8GB RAM,"2020, November 19",195 g (6.88 oz),"4K@30fps, 1080p@30/60/120fps; gyro-EIS","128GB 6GB RAM, 128GB 8GB RAM",€ 276.92
Realme C15 Qualcomm Edition,Realme,Android 10,"6.5""",720x1600 pixels,6000,Li-Po,3/4GB RAM,"2020, October 28",209 g (7.37 oz),1080p@30fps,"32GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM",About 110 EUR
Realme Q2 Pro,Realme,Android 10,"6.4""",1080x2400 pixels,4300,Li-Po,8GB RAM,"2020, October 13",175 g (6.17 oz),"4K@30fps, 1080p@30/60/120fps, gyro-EIS","128GB 8GB RAM, 256GB 8GB RAM",About 310 EUR
Realme Q2,Realme,Android 10,"6.5""",1080x2400 pixels,5000,Li-Po,4/6GB RAM,"2020, October 13",194 g (6.84 oz),"4K@30fps, 1080p@30/60/120fps, gyro-EIS","128GB 4GB RAM, 128GB 6GB RAM",About 160 EUR
Realme Q2i,Realme,Android 10,"6.5""",720x1600 pixels,5000,Li-Po,4GB RAM,"2020, October 13",189.5 g (6.70 oz),"4K@30/60fps, 1080p@30/60fps",128GB 4GB RAM,About 130 EUR
Realme 7 (Global),Realme,Android 10,"6.5""",1080x2400 pixels,5000,Li-Po,4-8GB RAM,"2020, October 07",196.5 g (6.95 oz),"4K@30fps, 1080p@30/60/120fps, gyro-EIS","64GB 4GB RAM, 64GB 6GB RAM, 128GB 8GB RAM",About 250 EUR
Realme Narzo 20 Pro,Realme,Android 10,"6.5""",1080x2400 pixels,4500,Li-Po,6/8GB RAM,"2020, September 21",191 g (6.74 oz),"4K@30fps, 1080p@30/60fps, gyro-EIS","64GB 6GB RAM, 128GB 8GB RAM",About 170 EUR
Realme Narzo 20,Realme,Android 10,"6.5""",720x1600 pixels,6000,Li-Po,4GB RAM,"2020, September 21",208 g (7.34 oz),1080p@30/60fps,"64GB 4GB RAM, 128GB 4GB RAM",About 130 EUR
Realme Narzo 20A,Realme,Android 10,"6.5""",720x1600 pixels,5000,Li-Po,4GB RAM,"2020, September 21",195 g (6.88 oz),"4K@30fps, 1080p@30fps, 480p@120fps","32GB 3GB RAM, 64GB 4GB RAM",About 100 EUR
Realme C17,Realme,Android 10,"6.5""",720x1600 pixels,5000,Li-Po,4/6GB RAM,"2020, September 21",188 g (6.63 oz),1080p@30fps,"64GB 4GB RAM, 128GB 6GB RAM, 256GB 6GB RAM",About 160 EUR
Realme 7i,Realme,Android 10,"6.5""",720x1600 pixels,5000,Li-Po,4/8GB RAM,"2020, September 17",188 g (6.63 oz),"1080p@30fps, gyro-EIS","64GB 4GB RAM, 128GB 4GB RAM, 128GB 8GB RAM",About 180 EUR
Realme 7 Pro,Realme,Android 10,"6.4""",1080x2400 pixels,4500,Li-Po,6/8GB RAM,"2020, September 03",182 g (6.42 oz),"4K@30fps, 1080p@30/60/120fps, gyro-EIS","128GB 6GB RAM, 128GB 8GB RAM",About 340 EUR
Realme 7 (Asia),Realme,Android 10,"6.5""",1080x2400 pixels,5000,Li-Po,6/8GB RAM,"2020, September 03",196.5 g (6.95 oz),"4K@30fps, 1080p@30/60/120fps, gyro-EIS","64GB 6GB RAM, 128GB 8GB RAM",About 170 EUR
Realme X7 Pro,Realme,Android 10,"6.55""",1080x2400 pixels,4500,Li-Po,6/8GB RAM,"2020, September 01",184 g (6.49 oz),"4K@30/60fps, 1080p@30/60/120fps, gyro-EIS","128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM",About 470 EUR
Realme X7,Realme,Android 10,"6.4""",1080x2400 pixels,4300,Li-Po,6/8GB RAM,"2020, September 01",175 g (6.17 oz),"4K@30fps, 1080p@30/60/120fps, gyro-EIS","128GB 6GB RAM, 128GB 8GB RAM",About 330 EUR
Realme V3,Realme,Android 10,"6.5""",720x1600 pixels,5000,Li-Po,6/8GB RAM,"2020, September 01",189.5 g (6.70 oz),"4K@30/60fps, 1080p@30/60fps","64GB 6GB RAM, 128GB 6GB RAM, 128GB 8GB RAM",About 120 EUR
Realme C12,Realme,Android 10,"6.5""",720x1560 pixels,6000,Li-Po,3/4GB RAM,"2020, August 14",209 g (7.37 oz),1080p@30fps,"32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM",About 110 EUR
Realme V5 5G,Realme,Android 10,"6.5""",1080x2400 pixels,5000,Li-Po,6/8GB RAM,"2020, August 03",194 g (6.84 oz),"4K@30fps, 1080p@30/60/120fps; gyro-EIS","128GB 6GB RAM, 128GB 8GB RAM",About 180 EUR
Realme C15,Realme,Android 10,"6.5""",720x1600 pixels,6000,Li-Po,3/4GB RAM,"2020, July 28",209 g (7.37 oz),1080p@30fps,"32GB 3GB RAM, 64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM","₹ 7,999"
Realme 6i (India),Realme,Android 10,"6.5""",1080x2400 pixels,4300,Li-Po,4/6GB RAM,"2020, July 24",191 g (6.74 oz),"4K@30fps, 1080p@30/60/120fps, gyro-EIS","64GB 4GB RAM, 64GB 6GB RAM",About 150 EUR
